keyword,received_response,search_nil_item,translation
中國人+中國經濟+中共,TRUE,hit_dirt_words,Chinese + Chinese economy + CCP
疫情+包子+调研,TRUE,,Epidemic + Buns + Research
口罩+政府+外交部+提出,TRUE,,Mask + government + Ministry of Foreign Affairs + proposed
春蕾计划+总书记,TRUE,federation_empty,Spring Bud Project + General Secretary
今上+迸发,TRUE,hit_dirt_words,Today + burst
研究+市委+湖北省委+病毒,TRUE,,Research + Municipal Party Committee + Hubei Provincial Party Committee + Virus
香港+中派+民主派,TRUE,,Hong Kong + Central + Democrats
选举+皇帝+撒谎,TRUE,,Election + emperor + lying
选举+打脸+皇帝,TRUE,,Election + Face Slap + Emperor
任总+公开信,TRUE,,President Ren + Open Letter
一國兩制+政府+助理+行政長官,TRUE,,"One country, two systems + government + assistant + chief executive"
通关+确诊病例+有关+俄罗斯,TRUE,,Customs clearance + confirmed cases + related + Russia
欧盟+外交+病毒+设备,TRUE,,EU + diplomacy + virus + equipment
一尊+染病,TRUE,,One + Infected
世界卫生+一尊,TRUE,,World Health + One
一尊+苦难+病毒,TRUE,,One + suffering + virus
葬礼+领导人,TRUE,,Funeral + leader
美國總統+特朗普+呼籲+在中國+病毒疫情,TRUE,,US President + Trump + Appeal + In China + Virus Outbreak
香港+英國+移民+死亡人數,TRUE,,Hong Kong + UK + immigration + death toll
政府+制约+全球化+制度,TRUE,,Government + restriction + globalization + system
确诊病例+人传人+不明原因+病毒,TRUE,,Confirmed case + person-to-person transmission + unknown cause + virus
中共+常委會+習近平+政治局,TRUE,federation_empty,CPC + Standing Committee + Xi Jinping + Politburo
